id,banco,lixo,coberto,geom
1,t,,t,0101000020EC7C0000D3340A1B862019415D9F792DC4376141
2,,,,0101000020EC7C00008EC404D4B4B718413439AA0B7F396141
3,,,,0101000020EC7C00004C4EEE2E34B71841742D13EEC7396141
4,,,,0101000020EC7C0000A33B8A6E50B618412A1F8599E9396141
5,,,,0101000020EC7C000011069457D8B61841364830C7BC396141
6,,,,0101000020EC7C00009BCA3F98B3B918419586EBBA94396141
7,,,,0101000020EC7C0000FCE40FD509B4184176945048C2396141
8,,,,0101000020EC7C00005A6F892884C51841E3E0D4ACA7396141
9,,,,0101000020EC7C000052EB110ECBB718410D4FE5198C396141
10,,,,0101000020EC7C0000394D8F00C2B718411E2C47268D396141
11,f,t,,0101000020EC7C0000D5D30A6B967C1841C51816D9663C6141
12,t,,,0101000020EC7C0000E6C416EB8BED184110CDFE6569396141
13,f,f,,0101000020EC7C00004CACCE3C229718417232A40D06376141
14,f,f,,0101000020EC7C00001E9E4B9A0D9718413F09A4A906376141
15,f,t,,0101000020EC7C0000E1CF0428BE8F1841A9A9E6EA36386141
16,t,t,,0101000020EC7C00001EB77FDE39A11841988BC4B08E3A6141
17,t,f,,0101000020EC7C0000DA3B40AAFD9818417FEF50C08F376141
18,t,t,,0101000020EC7C0000685D1551729C18414D47C91D6A376141
19,t,t,,0101000020EC7C00000D391A0CDF7F1841D288594D76386141
20,f,f,,0101000020EC7C00008998048A297F1841ECC210D100386141
21,t,f,,0101000020EC7C00008EF9B1484A861841486503D0E4366141
22,f,f,,0101000020EC7C00009655D77AAF861841CAFDD42AF0366141
23,t,f,,0101000020EC7C0000FFE072BCA8951841AC6DB24B16376141
24,f,f,,0101000020EC7C00006A1A69DCB1861841318AAAB72D376141
25,t,f,,0101000020EC7C00008375CC06E87F1841F957A1934F376141
26,f,t,,0101000020EC7C0000C3E6282B9B971841C492E71245386141
27,t,t,,0101000020EC7C00005054BA9AA69B1841332EAC294C386141
28,t,f,,0101000020EC7C0000D31B19D5DB9618414939FFB9953A6141
29,t,t,,0101000020EC7C000046D9C006DBA01841B11E2DE1943A6141
30,t,f,,0101000020EC7C0000065D0178B7801841E9E743EA58386141
31,t,f,,0101000020EC7C0000BEDC8BD5F68118419B8FA41A34386141
32,t,f,,0101000020EC7C0000280C6690189E184148283E3FA23A6141
33,t,t,,0101000020EC7C0000083C5C127A6F1841BC68D5BDA5396141
34,t,t,,0101000020EC7C0000E9B649F13B941841DE5E88596C376141
35,,,,0101000020EC7C000009063D075A78184131F1750A09386141
36,t,t,,0101000020EC7C00009C78D070F96D184194C05058A3396141
37,f,f,,0101000020EC7C000016CC277D1A801841A352434893376141
38,t,f,,0101000020EC7C0000D900576B559D184133E6FD3D15376141
39,t,f,,0101000020EC7C0000F7E640EB799D18416637DCAE13376141
40,t,f,,0101000020EC7C000052C7051ECF9918415389069A33376141
41,f,f,,0101000020EC7C0000AA98AAEBB28F184105B9BBD81B386141
42,f,f,,0101000020EC7C0000BC9D61EDCF871841C634A97C28386141
43,t,f,,0101000020EC7C0000AC430AEBD98018418D01890F5A386141
44,t,t,,0101000020EC7C0000A0A7B57082831841CF325D2BB3376141
45,f,f,,0101000020EC7C000057E86BB8E27918410871201C9B396141
46,t,f,,0101000020EC7C00009746D8A019A91841AEC137CB69396141
47,f,f,,0101000020EC7C00007FCB38E2599918414A4674AA96376141
48,f,f,,0101000020EC7C0000296D07C75193184184AD21AACC376141
49,t,f,,0101000020EC7C0000ABAF4DBF9C7F1841A9C8CCAB88386141
50,t,f,,0101000020EC7C0000BBFD66F9CF6E18410A52FDB5A1396141
51,t,,,0101000020EC7C0000AFE4AE713E8F1841DA851C16CB3A6141
52,,,,0101000020EC7C000000695423C28B18414AA35BA2B9396141
53,t,t,,0101000020EC7C00005B9EF749F6A2184168E31E0D99386141
54,,,,0101000020EC7C00003336D56A09831841E8ED9471AA396141
55,f,f,,0101000020EC7C000002F82A2B1595184141DDDD8940386141
56,t,,,0101000020EC7C0000E0BC1426658C18411A2340F7D63A6141
57,t,,,0101000020EC7C00007876B814BEA61841C27D7C5ECC386141
